name,position,price,match,mål,assist,matchavgorande_mål,mål_i_numerart_underlage,+_-,spelad_match_och_istid,skott_på_mål,tekningar,blockerade_skott,utvisningar,tacklingar,raddningar,inslappta_mål,hållna_nollor,vinster,overtidsvinster,overtidsforluster,agandeskap,stat_24,stat_25
Linus Nässén,FW,5.9 mkr,71,0.8,2.0,4,9,0,0,-2,60,0,0,2,-6,4,0,0,0,0,0,,
Alexander Ljungkrantz,FW,6.3 mkr,70,0,2.5,16,3,2,0,14,36,1,0,0,-2,0,0,0,0,0,0,,
Martin Karlsson,FW,6.3 mkr,70,1.4,2.1,12,3,0,0,-14,57,2,0,8,-5,7,0,0,0,0,0,,
Max Martin,B,7.3 mkr,70,6.6,5.8,8,15,0,0,16,29,0,0,1,0,1,0,0,0,0,0,,
Maximilian Eisenmenger,C,5.6 mkr,70,0,2.1,8,6,2,0,0,56,0,-2,1,-1,0,0,0,0,0,0,,
Carter Ashton,FW,6.9 mkr,69,0,3.1,12,15,0,0,6,43,0,0,0,-9,2,0,0,0,0,0,,
Mantas Armalis,MV,8.2 mkr,69,1.6,4.3,0,3,0,2,0,15,0,0,0,0,0,64,-47,4,12,0,,
Måns Carlsson,C,5.5 mkr,68,1.4,1.4,16,15,0,0,-22,75,0,-10,2,-10,2,0,0,0,0,0,,
Patrik Norén,B,6.9 mkr,68,0,2.2,8,0,0,0,-10,69,1,0,8,-14,6,0,0,0,0,0,,
Marcus Eriksson,FW,5.5 mkr,67,0,1.8,12,12,0,0,-12,55,0,0,1,-2,1,0,0,0,0,0,,
Arvid Aronsson,B,5.8 mkr,64,0,2.1,0,12,0,0,-2,51,0,0,5,-6,4,0,0,0,0,0,,
Olof Glifford,MV,6.5 mkr,63,0.6,4.8,0,0,0,4,0,12,0,0,0,0,0,50,-33,4,12,1,,
Filip Eriksson,FW,6.2 mkr,62,0,1.8,8,12,0,0,-22,65,3,-2,1,-4,1,0,0,0,0,0,,
Didrik Strömberg,B,6.5 mkr,62,0,2.3,4,3,0,0,-12,55,0,0,9,-6,9,0,0,0,0,0,,
Jonathan Andersson,B,7.4 mkr,62,0,3.3,0,12,0,0,8,38,0,0,5,-2,1,0,0,0,0,0,,
Thomas Berg-Paulsen,C,6.0 mkr,60,2.2,2.2,12,0,0,0,-8,52,0,0,5,-3,2,0,0,0,0,0,,
Otto Stenberg,FW,5.9 mkr,58,0,2.3,12,9,2,0,-14,47,1,0,1,-2,2,0,0,0,0,0,,
Frederik Dichow,MV,7.2 mkr,58,2.2,3.4,0,0,0,4,0,13,0,0,0,-1,0,61,-48,0,9,3,,
